Warehouse,Algorithm,Steps,Method
warehouse_25.txt,Breadth,29,elem
warehouse_25.txt,Depth,596,elem
warehouse_27.txt,Astar,50,elem
warehouse_27.txt,Breadth,50,elem
warehouse_27.txt,Depth,104,elem
warehouse_29.txt,Astar,104,elem
warehouse_29.txt,Breadth,104,elem
warehouse_29.txt,Depth,200,elem
warehouse_31.txt,Astar,17,elem
warehouse_31.txt,Breadth,17,elem
warehouse_31.txt,Depth,365,elem
warehouse_33.txt,Astar,-1,elem
warehouse_33.txt,Breadth,41,elem
warehouse_33.txt,Depth,225,elem
warehouse_35.txt,Astar,-1,elem
warehouse_35.txt,Breadth,-1,elem
warehouse_35.txt,Depth,-1,elem
warehouse_37.txt,Astar,-1,elem
warehouse_37.txt,Breadth,71,elem
warehouse_37.txt,Depth,147,elem
warehouse_39.txt,Astar,85,elem
warehouse_39.txt,Breadth,85,elem
warehouse_39.txt,Depth,137,elem
warehouse_41.txt,Astar,50,elem
warehouse_41.txt,Breadth,50,elem
warehouse_41.txt,Depth,130,elem
warehouse_43.txt,Astar,-1,elem
warehouse_43.txt,Breadth,61,elem
warehouse_43.txt,Depth,88,elem
warehouse_45.txt,Astar,45,elem
warehouse_45.txt,Breadth,45,elem
warehouse_45.txt,Depth,77,elem
warehouse_47.txt,Astar,83,elem
warehouse_47.txt,Breadth,83,elem
warehouse_47.txt,Depth,223,elem
warehouse_49.txt,Astar,82,elem
warehouse_49.txt,Breadth,82,elem
warehouse_49.txt,Depth,102,elem
warehouse_51.txt,Astar,34,elem
warehouse_51.txt,Breadth,34,elem
warehouse_51.txt,Depth,82,elem
warehouse_53.txt,Astar,37,elem
warehouse_53.txt,Breadth,37,elem
warehouse_53.txt,Depth,171,elem
warehouse_55.txt,Astar,64,elem
warehouse_55.txt,Breadth,64,elem
warehouse_55.txt,Depth,128,elem
warehouse_57.txt,Astar,60,elem
warehouse_57.txt,Breadth,60,elem
warehouse_57.txt,Depth,162,elem
warehouse_59.txt,Astar,-1,elem
warehouse_59.txt,Breadth,-1,elem
warehouse_59.txt,Depth,1460,elem
warehouse_61.txt,Astar,-1,elem
warehouse_61.txt,Breadth,100,elem
warehouse_61.txt,Depth,456,elem
warehouse_63.txt,Astar,101,elem
warehouse_63.txt,Breadth,101,elem
warehouse_63.txt,Depth,121,elem
warehouse_65.txt,Astar,-1,elem
warehouse_65.txt,Breadth,-1,elem
warehouse_65.txt,Depth,-1,elem
warehouse_67.txt,Astar,37,elem
warehouse_67.txt,Breadth,37,elem
warehouse_67.txt,Depth,179,elem
warehouse_69.txt,Astar,-1,elem
warehouse_69.txt,Breadth,-1,elem
warehouse_69.txt,Depth,446,elem
warehouse_71.txt,Astar,120,elem
warehouse_71.txt,Breadth,120,elem
warehouse_71.txt,Depth,386,elem
warehouse_73.txt,Astar,-1,elem
warehouse_73.txt,Breadth,-1,elem
warehouse_73.txt,Depth,294,elem
warehouse_75.txt,Astar,-1,elem
warehouse_75.txt,Breadth,-1,elem
warehouse_75.txt,Depth,308,elem
warehouse_77.txt,Astar,-1,elem
warehouse_77.txt,Breadth,-1,elem
warehouse_77.txt,Depth,1181,elem
warehouse_79.txt,Astar,48,elem
warehouse_79.txt,Breadth,48,elem
warehouse_79.txt,Depth,96,elem
warehouse_81.txt,Astar,46,elem
warehouse_81.txt,Breadth,46,elem
warehouse_81.txt,Depth,474,elem
warehouse_83.txt,Astar,-1,elem
warehouse_83.txt,Breadth,-1,elem
warehouse_83.txt,Depth,-1,elem
warehouse_85.txt,Astar,-1,elem
warehouse_85.txt,Breadth,-1,elem
warehouse_85.txt,Depth,-1,elem
warehouse_87.txt,Astar,-1,elem
warehouse_87.txt,Breadth,-1,elem
warehouse_87.txt,Depth,-1,elem
warehouse_89.txt,Astar,-1,elem
warehouse_89.txt,Breadth,-1,elem
warehouse_89.txt,Depth,-1,elem
warehouse_91.txt,Astar,45,elem
warehouse_91.txt,Breadth,45,elem
warehouse_91.txt,Depth,87,elem
warehouse_93.txt,Astar,-1,elem
warehouse_93.txt,Breadth,-1,elem
warehouse_93.txt,Depth,-1,elem
warehouse_95.txt,Astar,-1,elem
warehouse_95.txt,Breadth,-1,elem
warehouse_95.txt,Depth,-1,elem
warehouse_97.txt,Astar,-1,elem
warehouse_97.txt,Breadth,-1,elem
warehouse_97.txt,Depth,1110,elem
warehouse_99.txt,Astar,-1,elem
warehouse_99.txt,Breadth,-1,elem
warehouse_99.txt,Depth,-1,elem
